oblast,airstrikes,artilleria,battles,energia,civil,total_eventos,indice_presion
Donetsk,818,853,4215,38,304,5886,1572.3
Sumy,2529,770,30,10,85,3329,1090.4
Kherson,469,2070,213,25,384,2752,756.6
Kharkiv,565,294,1086,10,117,1945,549.6
Zaporizhia,832,173,341,14,79,1346,425.04999999999995
Chernihiv,744,251,1,7,14,996,324.79999999999995
Dnipropetrovsk,340,73,1,17,92,414,143.79999999999998
Luhansk,41,19,283,3,21,343,91.19999999999999
Mykolaiv,63,19,0,8,11,82,28.15
Odesa,42,11,1,17,25,54,20.65
Kyiv City,54,3,0,2,15,57,20.599999999999998
Kyiv,45,0,0,2,12,45,16.549999999999997
Poltava,31,1,2,10,4,34,12.799999999999999
Cherkasy,22,0,0,3,0,22,7.999999999999999
Khmelnytskyi,11,0,0,0,4,11,4.05
Kirovohrad,10,0,0,1,3,10,3.75
Vinnytsia,0,0,0,0,0,0,0.0
